F_st,S_st
11.512557586,96.4090480766
11.6122999788,96.3650146186
11.676283677,96.3579300424
11.7473909356,96.2847774163
11.8978866861,96.2403358908
11.9526132496,96.105476551
12.0955208088,96.0416844335
12.2332571455,96.0367449621
12.4196191333,96.0050449503
12.5721279443,95.8802286805
12.7878695765,95.8132156256
12.8134987497,95.8087785687
12.9698528478,95.6299357742
12.9730452735,95.601698301
13.2462905397,95.5875979583
13.4524560194,95.5143394513
13.5139442475,95.4096648196
13.686025526,95.3743067674
14.0936416469,95.090584022
14.3396881725,95.0724856221
14.4084396301,95.0107602756
14.5320241347,95.0029811401
14.6929151869,94.8728334394
14.9324474641,94.6983839489
14.9883683438,94.6272425137
15.0913201876,94.6067251779
15.2162971309,94.5495671334
15.5282270098,94.4082413463
15.6131054256,94.2941518523
15.9355742329,94.18652326
16.136817853,94.0021819383
16.3960810396,93.843992568
16.4708331187,93.8100959743
16.5362850432,93.800016021
16.7855644005,93.5661923514
17.406969305,93.2625563312
17.5477303632,93.139677802
17.711362034,92.9859160253
17.7679899086,92.8839184777
18.021451424,92.8568228608
18.1015251609,92.7746035457
18.4688412819,92.4954395768
18.4814104697,92.3933763292
18.5283147581,92.3721054994
18.7340934867,92.2546769211
18.7888545868,92.2423504002
18.8716224377,92.0256467788
18.9915635467,91.9806962739
19.0183282969,91.9623708045
19.3097293395,91.8610220619
19.6186627329,91.5651862477
19.6955421441,91.489851533
19.7071420131,91.3066499864
20.0682396226,91.1145637546
20.0849908462,91.0989296511
20.3576565767,90.8870182653
20.3790910126,90.8522821977
20.4387292201,90.7583012516
20.6439132882,90.7424223168
20.7200237876,90.454093539
20.7303722919,90.4313212454
20.8332050413,90.4247183055
20.920124654,90.3831016539
20.9300326504,90.3729273346
20.9838778522,90.2685061324
20.990112111,90.2536335155
21.0794045048,90.2436105225
21.4415546299,89.9254436379
21.5082231439,89.6371637478
21.5507442735,89.6220346359
21.8760679706,89.3809683756
21.8857617142,89.3486337898
22.0088833316,89.1945832202
22.0206674149,89.1749799249
22.046040347,89.1488602313
22.0760944377,89.103424163
22.200817628,89.0402402246
22.2164368153,88.7910324775
22.2957191656,88.7811631813
22.3163382993,88.7483328164
22.5204717089,88.6378092284
22.5316684808,88.5949031746
22.7500090267,88.2635063619
22.8535160919,88.1779244438
22.9235277756,88.0409882725
23.0657280103,87.7600822071
23.1966850448,87.7107985435
23.283075185,87.5884934141
23.3797353736,87.360385617
23.4060290875,87.3406055946
23.4613311588,87.3117154388
23.5135705635,87.1964842662
23.5788365131,87.0846585808
23.7054159866,86.853979826
23.7270612101,86.8350513966
23.7767017983,86.7090798824
23.8496638981,86.6959668606
23.9066898916,86.5512827144
23.9607699399,86.4312596081
24.0204072474,86.3068125793
24.0847757696,86.1925508112
24.175823009,85.9888755354
24.2741750033,85.8060405269
24.3851084536,85.6799631988
24.4265225912,85.4725670263
24.718750496,84.8526127676
24.7927295827,84.634485608
24.8802682201,84.4444570905
24.9077210529,84.2201241531
24.9281967557,84.1660582075
24.9749660414,84.1192077219
25.0011279311,83.8839985398
25.0644408976,83.8758225651
25.0779881398,83.708332105
25.1559597107,83.463958492
25.2416297062,83.323094293
25.2605874162,83.0278988137
25.2646698016,83.0037471196
25.3606732253,82.9632951616
25.3672706611,82.6291743517
25.4399545329,82.5402176842
25.4523322716,82.4168024316
25.5475519157,81.9837013618
25.5716809656,81.9340226973
25.6246776679,81.5700125627
25.6415013336,81.3684712028
